,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
0,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,10 Sep 2007,-,-,17 Sep 2007,20 Sep 2007,10 Sep 2007,14 Sep 2007,-
1,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,07 Nov 2007,Interim Dividend - Rs. - 0.7000,08 Nov 2007,-,-,01 Nov 2007,06 Nov 2007,-
2,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,10 Sep 2009,Dividend - Rs. - 0.4000,-,14 Sep 2009,25 Sep 2009,07 Sep 2009,11 Sep 2009,-
3,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,16 Sep 2010,Dividend - Rs. - 0.4000,-,20 Sep 2010,27 Sep 2010,13 Sep 2010,17 Sep 2010,-
4,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,28 Jul 2011,Dividend - Rs. - 0.4000,-,01 Aug 2011,11 Aug 2011,25 Jul 2011,29 Jul 2011,-
5,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,19 Jul 2012,Dividend - Rs. - 2.0000,-,23 Jul 2012,03 Aug 2012,16 Jul 2012,20 Jul 2012,-
6,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,18 Jul 2013,Dividend - Rs. - 2.0000,-,22 Jul 2013,02 Aug 2013,15 Jul 2013,19 Jul 2013,-
7,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,10 Jul 2014,Dividend - Rs. - 2.0000,-,14 Jul 2014,25 Jul 2014,07 Jul 2014,11 Jul 2014,-
8,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,10 Sep 2015,Dividend - Rs. - 2.0000,-,14 Sep 2015,22 Sep 2015,07 Sep 2015,11 Sep 2015,-
9,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,03 Aug 2016,Dividend - Rs. - 2.0000,-,05 Aug 2016,12 Aug 2016,29 Jul 2016,04 Aug 2016,-
10,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,20 Sep 2017,Dividend - Rs. - 2.0000,-,22 Sep 2017,29 Sep 2017,15 Sep 2017,21 Sep 2017,-
11,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,19 Sep 2018,Dividend - Rs. - 2.0000,-,22 Sep 2018,28 Sep 2018,14 Sep 2018,19 Sep 2018,-
12,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,19 Sep 2019,Dividend - Rs. - 2.0000,-,21 Sep 2019,27 Sep 2019,16 Sep 2019,19 Sep 2019,-
13,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,17 Sep 2020,Dividend - Rs. - 2.5000,-,19 Sep 2020,29 Sep 2020,14 Sep 2020,17 Sep 2020,-
