,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
0,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,02 Nov 2016,Interim Dividend - Rs. - 1.7500,03 Nov 2016,-,-,27 Oct 2016,02 Nov 2016,-
1,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,07 Jul 2017,Final Dividend - Rs. - 2.3000,-,11 Jul 2017,17 Jul 2017,04 Jul 2017,10 Jul 2017,-
2,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,07 Jul 2017,Special Dividend - Rs. - 1.2000,-,11 Jul 2017,17 Jul 2017,04 Jul 2017,10 Jul 2017,-
3,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,02 Nov 2017,Interim Dividend - Rs. - 2.3000,03 Nov 2017,-,-,27 Oct 2017,02 Nov 2017,-
4,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,02 Nov 2017,Special Dividend - Rs. - 1.1000,03 Nov 2017,-,-,27 Oct 2017,02 Nov 2017,-
5,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,18 Jun 2018,Final Dividend - Rs. - 2.2000,-,20 Jun 2018,26 Jun 2018,13 Jun 2018,19 Jun 2018,-
6,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,18 Jun 2018,Special Dividend - Rs. - 1.1000,-,20 Jun 2018,26 Jun 2018,13 Jun 2018,19 Jun 2018,-
7,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,01 Nov 2018,Interim Dividend - Rs. - 1.6000,02 Nov 2018,-,-,26 Oct 2018,01 Nov 2018,-
8,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,09 Jul 2019,Final Dividend - Rs. - 1.5500,-,11 Jul 2019,17 Jul 2019,04 Jul 2019,10 Jul 2019,-
9,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,31 Oct 2019,Interim Dividend - Rs. - 0.8000,01 Nov 2019,-,-,24 Oct 2019,31 Oct 2019,-
