% Deli. Qty to Traded Qty,Close Price,Code,Date,Deliverable Quantity,High Price,Low Price,No. of Trades,No.of Shares,Open Price,Spread Close-Open,Spread High-Low,Total Turnover (Rs.),Unix Date,WAP,Company
19.54,1394.85,500002.0,2021-05-14,3869.0,1423.15,1380.1,1707.0,19799.0,1405.0,-10.150000000000091,43.05000000000018,27889383.0,1620930600.0,1408.6258396888732,ABB INDIA LIMITED
32.95,324.25,500003.0,2021-05-14,1712.0,338.5,321.95,340.0,5196.0,338.5,-14.25,16.55000000000001,1708422.0,1620930600.0,328.79561200923786,AEGIS LOGISTICS LTD
35.61,771.0,500008.0,2021-05-14,91952.0,815.0,767.05,13949.0,258221.0,812.0,-41.0,47.950000000000045,201751472.0,1620930600.0,781.3131852173138,AMARA RAJA BATTERIES LTD
77.09,40.05,500009.0,2021-05-14,3838450.0,40.05,38.3,8228.0,4979219.0,40.05,0.0,1.75,198942448.0,1620930600.0,39.95454869528735,AMBALAL SARABHAI ENTERPRISES LTD
88.58,2421.8,500010.0,2021-05-14,299758.0,2441.35,2402.5,6895.0,338416.0,2438.0,-16.199999999999818,38.84999999999991,819732099.0,1620930600.0,2422.2616513403623,HOUSING DEVELOPMENT FINANCE CORPLTD
81.88,72.35,500012.0,2021-05-14,269081.0,74.8,72.35,1462.0,328614.0,74.8,-2.450000000000003,2.450000000000003,23918813.0,1620930600.0,72.78695673343194,ANDHRA PETROCHEMICALS LTD
93.74,5.94,500013.0,2021-05-14,25583.0,6.06,5.75,47.0,27290.0,5.89,0.05000000000000071,0.3099999999999996,163113.0,1620930600.0,5.977024551117625,ANSAL PROPERTIES  INFRASTRUCTURE LTD
95.89,2.45,500014.0,2021-05-14,11654.0,2.55,2.43,43.0,12154.0,2.5,-0.04999999999999982,0.11999999999999966,30457.0,1620930600.0,2.505923975645878,UTIQUE ENTERPRISES LTD
100.0,7.47,500016.0,2021-05-14,915.0,7.48,7.02,10.0,915.0,7.48,-0.010000000000000675,0.46000000000000085,6567.0,1620930600.0,7.177049180327868,ARUNA HOTELS LTD
27.86,76.2,500020.0,2021-05-14,176331.0,79.35,75.2,4099.0,632905.0,76.25,-0.04999999999999716,4.1499999999999915,48988370.0,1620930600.0,77.40240636430428,BOMBAY DYEING  MFGCOLTD
48.67,67.05,500023.0,2021-05-14,110.0,67.45,65.05,19.0,226.0,65.05,2.0,2.4000000000000057,14953.0,1620930600.0,66.16371681415929,ASIAN HOTELS NORTH LIMITED
39.06,8201.55,500027.0,2021-05-14,869.0,8326.55,8122.4,848.0,2225.0,8220.05,-18.5,204.14999999999964,18295890.0,1620930600.0,8222.871910112359,ATUL LTD
100.0,5.09,500028.0,2021-05-14,16499.0,5.31,4.82,54.0,16499.0,5.07,0.019999999999999574,0.4899999999999993,84003.0,1620930600.0,5.091399478756288,ATV PROJECTS INDIA LTD
41.82,1116.55,500031.0,2021-05-14,3874.0,1173.0,1106.45,1246.0,9264.0,1160.0,-43.450000000000045,66.54999999999995,10551763.0,1620930600.0,1139.0072322970639,BAJAJ ELECTRICALS LTD
53.38,12.92,500032.0,2021-05-14,4774901.0,14.28,12.92,9406.0,8944270.0,14.2,-1.2799999999999994,1.3599999999999994,120349866.0,1620930600.0,13.455526946301934,BAJAJ HINDUSTHAN SUGAR LIMITED
61.43,1154.6,500033.0,2021-05-14,1666.0,1190.0,1134.65,372.0,2712.0,1188.2,-33.600000000000136,55.34999999999991,3170833.0,1620930600.0,1169.186209439528,FORCE MOTORS LTD
12.18,5327.95,500034.0,2021-05-14,8048.0,5430.25,5267.4,5758.0,66080.0,5430.0,-102.05000000000018,162.85000000000036,351340384.0,1620930600.0,5316.8944309927365,BAJAJ FINANCE LIMITED
47.68,300.85,500038.0,2021-05-14,117415.0,321.0,292.3,6830.0,246282.0,321.0,-20.149999999999977,28.69999999999999,74615330.0,1620930600.0,302.9670459067248,BALRAMPUR CHINI MILLS LTD
70.73,147.75,500039.0,2021-05-14,4113.0,151.65,147.25,319.0,5815.0,151.65,-3.9000000000000057,4.400000000000006,866499.0,1620930600.0,149.0110060189166,BANCO PRODUCTS INDIA LTD
10.38,479.9,500040.0,2021-05-14,6774.0,492.7,475.05,1423.0,65279.0,485.0,-5.100000000000023,17.649999999999977,31489073.0,1620930600.0,482.3767674137165,CENTURY TEXTILES  INDUSTRIES LTD
74.44,1879.65,500041.0,2021-05-14,396.0,2020.0,1845.0,156.0,532.0,2020.0,-140.3499999999999,175.0,1023298.0,1620930600.0,1923.4924812030076,BANNARI AMMAN SUGARS LTD
27.69,2466.6,500042.0,2021-05-14,4346.0,2547.0,2403.55,2470.0,15694.0,2437.85,28.75,143.44999999999982,39007987.0,1620930600.0,2485.535045240219,BASF INDIA LTD
34.56,1387.05,500043.0,2021-05-14,19190.0,1394.9,1343.25,3757.0,55526.0,1350.0,37.049999999999955,51.65000000000009,76333538.0,1620930600.0,1374.7350430428987,BATA INDIA LTD
31.91,1296.8,500048.0,2021-05-14,12263.0,1340.0,1283.0,3004.0,38429.0,1325.1,-28.299999999999955,57.0,50004308.0,1620930600.0,1301.2128340576128,BEML LTD
19.29,143.35,500049.0,2021-05-14,130047.0,148.75,142.55,4721.0,674251.0,147.25,-3.9000000000000057,6.199999999999989,98320673.0,1620930600.0,145.82206478003,BHARAT ELECTRONICS LTD
