Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,19 Jun 2008,Dividend - Rs. - 3.5000,-,23 Jun 2008,25 Jun 2008,16 Jun 2008,20 Jun 2008,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,08 Jun 2009,Dividend - Rs. - 4.0000,-,10 Jun 2009,12 Jun 2009,03 Jun 2009,09 Jun 2009,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,04 Jun 2010,Dividend - Rs. - 6.0000,-,08 Jun 2010,10 Jun 2010,01 Jun 2010,07 Jun 2010,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,06 Jun 2011,Dividend - Rs. - 6.0000,-,08 Jun 2011,10 Jun 2011,01 Jun 2011,07 Jun 2011,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,06 Jun 2011,Special Dividend - Rs. - 2.0000,-,08 Jun 2011,10 Jun 2011,01 Jun 2011,07 Jun 2011,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,27 Jan 2012,Interim Dividend - Rs. - 6.0000,30 Jan 2012,-,-,20 Jan 2012,27 Jan 2012,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,11 Jun 2012,Final Dividend - Rs. - 2.5000,-,13 Jun 2012,15 Jun 2012,06 Jun 2012,12 Jun 2012,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,01 Feb 2013,Interim Dividend - Rs. - 6.0000,04 Feb 2013,-,-,28 Jan 2013,01 Feb 2013,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,10 Jun 2013,Special Dividend - Rs. - 10.0000,-,12 Jun 2013,14 Jun 2013,05 Jun 2013,11 Jun 2013,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,10 Jun 2013,Special Dividend - Rs. - 10.0000,-,12 Jun 2013,14 Jun 2013,05 Jun 2013,11 Jun 2013,25 Aug 2013
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,10 Jun 2013,Final Dividend - Rs. - 7.0000,-,12 Jun 2013,14 Jun 2013,05 Jun 2013,11 Jun 2013,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,10 Jun 2013,Final Dividend - Rs. - 7.0000,-,12 Jun 2013,14 Jun 2013,05 Jun 2013,11 Jun 2013,25 Aug 2013
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,23 Jul 2013,Bonus issue 1:1,24 Jul 2013,-,-,17 Jul 2013,23 Jul 2013,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,24 Jan 2014,Interim Dividend - Rs. - 5.0000,27 Jan 2014,-,-,20 Jan 2014,24 Jan 2014,03 Feb 2014
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,16 Jun 2014,Final Dividend - Rs. - 5.0000,-,18 Jun 2014,20 Jun 2014,11 Jun 2014,17 Jun 2014,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,02 Feb 2015,Interim Dividend - Rs. - 5.0000,03 Feb 2015,-,-,27 Jan 2015,02 Feb 2015,10 Feb 2015
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,15 Jun 2015,Final Dividend - Rs. - 6.2500,-,17 Jun 2015,19 Jun 2015,10 Jun 2015,16 Jun 2015,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,11 Feb 2016,Interim Dividend - Rs. - 20.0000,12 Feb 2016,-,-,05 Feb 2016,11 Feb 2016,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,16 Mar 2016,Interim Dividend - Rs. - 15.0000,17 Mar 2016,-,-,10 Mar 2016,16 Mar 2016,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,10 Feb 2017,Interim Dividend - Rs. - 10.0000,13 Feb 2017,-,-,06 Feb 2017,10 Feb 2017,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,19 Jun 2017,Final Dividend - Rs. - 4.0000,-,21 Jun 2017,23 Jun 2017,14 Jun 2017,20 Jun 2017,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,15 Feb 2018,Interim Dividend - Rs. - 9.0000,19 Feb 2018,-,-,09 Feb 2018,15 Feb 2018,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,18 Jun 2018,Final Dividend - Rs. - 5.0000,-,20 Jun 2018,22 Jun 2018,13 Jun 2018,19 Jun 2018,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,06 Feb 2019,Interim Dividend - Rs. - 13.0000,07 Feb 2019,-,-,31 Jan 2019,06 Feb 2019,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,13 Jun 2019,Final Dividend - Rs. - 4.0000,14 Jun 2019,-,-,07 Jun 2019,13 Jun 2019,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,18 Mar 2020,Interim Dividend - Rs. - 17.0000,19 Mar 2020,-,-,12 Mar 2020,18 Mar 2020,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,18 Mar 2020,Special Dividend - Rs. - 15.0000,19 Mar 2020,-,-,12 Mar 2020,18 Mar 2020,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,15 Feb 2021,Interim Dividend - Rs. - 20.0000,16 Feb 2021,-,-,09 Feb 2021,15 Feb 2021,-
